      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',     'ALPHA',        'CL',        'CD',     'CL/CD'
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,0,0,0.5981,0
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,0,0,0.545,0
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,0,0,0.505,0
1,0,0,2,1.20E+06,65000,333.0019,0,0,0,0,0.4723,0
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,0,0,0.4122,0
1,0,0,3,1.70E+06,65000,749.2543,0,0,0,0,0.3618,0
1,0,0,4,2.30E+06,65000,1332.0076,0,0,0,0,0.2874,0
1,0,0,1,5.80E+05,65000,83.2505,0,0,1,0.195455,0.7796,0.250711904
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,1,0.12155,0.6017,0.202010969
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,1,0.12012,0.5486,0.218957346
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,1,0.11778,0.5085,0.231622419
1,0,0,2,1.20E+06,65000,333.0019,0,0,1,0.11557,0.4757,0.242947236
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,1,0.109265,0.4154,0.263035628
1,0,0,3,1.70E+06,65000,749.2543,0,0,1,0.10387,0.3649,0.28465333
1,0,0,4,2.30E+06,65000,1332.0076,0,0,1,0.09724,0.2903,0.334963831
1,0,0,1,5.80E+05,65000,83.2505,0,0,5,1.06028,0.9184,1.154486063
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,5,0.719745,0.7014,1.026154833
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,5,0.71942,0.6491,1.108334617
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,5,0.708045,0.6075,1.165506173
1,0,0,2,1.20E+06,65000,333.0019,0,0,5,0.69667,0.5732,1.215404745
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,5,0.66547,0.5089,1.307663588
1,0,0,3,1.70E+06,65000,749.2543,0,0,5,0.638755,0.4548,1.404474494
1,0,0,4,2.30E+06,65000,1332.0076,0,0,5,0.604825,0.3757,1.609861592
1,0,0,1,5.80E+05,65000,83.2505,0,0,10,2.24172,1.3872,1.61600346
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,10,1.674335,1.0712,1.563046117
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,10,1.7511,1.0471,1.67233311
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,10,1.72952,1.0009,1.727964832
1,0,0,2,1.20E+06,65000,333.0019,0,0,10,1.70807,0.9623,1.77498701
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,10,1.65503,0.8875,1.864822535
1,0,0,3,1.70E+06,65000,749.2543,0,0,10,1.61824,0.8269,1.956996009
1,0,0,4,2.30E+06,65000,1332.0076,0,0,10,1.5535,0.7344,2.115332244
1,0,0,1,5.80E+05,65000,83.2505,0,0,15,3.601715,2.2694,1.587078082
1,0,0,1.25,7.20E+05,65000,130.0789,0,0,15,2.70517,1.749,1.546695254
1,0,0,1.5,8.60E+05,65000,187.3136,0,0,15,2.89731,1.7913,1.617434266
1,0,0,1.75,1.00E+06,65000,254.9546,0,0,15,2.91395,1.7616,1.654149637
1,0,0,2,1.20E+06,65000,333.0019,0,0,15,2.882945,1.7157,1.680331643
1,0,0,2.5,1.40E+06,65000,520.3155,0,0,15,2.84596,1.6397,1.735658962
1,0,0,3,1.70E+06,65000,749.2543,0,0,15,2.79045,1.5658,1.782124154
1,0,0,4,2.30E+06,65000,1332.0076,0,0,15,2.580045,1.4037,1.838031631
